Category,Name,Net weight,Price
"Bakery","Marby Chicken Spring Rolls | 280g 14pcs","280",98
"Bakery","Cream Cornstarch | 400g","400",51.5
"Bakery","Marby Hopia Pork | 650g 10pcs","650",118.5
"Bakery","Marby Loaf Bread Monggo | 400g","400",78.5
"Bakery","Lemon Square Fun Square Classic Brownies | 30g 10pcs","30",99.5
"Bakery","Lbl Ube Cheese Loaf | 300g","300",46
"Bakery","Hotsa Dumplings Reg Siomai | 18pcs","18",167
"Bakery","Marby Pullman Loaf Bread | 400g","400",57
"Bakery","White King Ultimate Fudge Brownie Mix | 580g","580",167.5
"Bakery","Gardenia Loaf High Fiber Wheat | 600g","600",96
"Bakery","Gardenia Pinoy Tasty | 450g","450",44
"Bakery","Maya The Original Hot Cake Mix | 500g","500",66.5
"Bakery","Monde Special Mamon Classic | 40g 12pcs","40",204.5
"Bakery","Gardenia Neubake White Bread | 450g","450",54
"Bakery","Gardenia Cheese Buns | 250g 10pcs","250",65
"Bakery","Fudgee Bar Chocolate Cream-Filled Cake Bar | 42g 10pcs","42",91.5
"Bakery","Monde Banana Bar | 20g 10pcs","20",104.5
"Bakery","Marby Loaf Bread Whole Wheat | 600g","600",82
"Bakery","Marby Cheese Bites | 120g","120",43.5
"Bakery","Gardenia Soft Delight Pandesal Fampk | 300g","300",54
"Bakery","Monde Wheat Bread | 600g","600",92
"Bakery","Fudgee Bar Assorted Combo | 42g 10pcs","42",74.5
"Bakery","Magnolia All Purpose Flour | 400g","400",46.5
"Bakery","Marby Super Loaf | 600g","600",79
"Bakery","Lemon Square Inipit Assorted | 21g 10pcs","21",64.5
"Bakery","Gardenia High Fiber Wheat Loaf Raisin | 400g","400",76
"Bakery","Magnolia All Purpose Flour | 800g","800",96.5
"Bakery","Doughboy Crossini Rolls Choco | 10pcs","10",117.5
"Bakery","SM Bonus White Bread Loaf Regular | 600g","600",58
"Bakery","Gardenia Wheaten Bread | 560g","560",79
"Bakery","Monde Special Mamon Mini Classic | 23g 8pcs","23",85
"Bakery","Lemon Square Cake Assorted | 10pcs","10",85
"Bakery","Monde Cheese Bar | 23g 10pcs","23",104.5
"Bakery","SM Bonus Pure Cornstarch | 400g","400",36.5
"Bakery","SM Bonus Baking Soda | 250g","250",26.5
"Bakery","Maya Quick & Easy Pancake | 500g","500",104.5
"Bakery","Monde Special Mamon Mocha | 43g 6pcs","43",114.5
"Bakery","Gardenia Premium Pandesal | 350g","350",56
"Bakery","McCormick Vanilla Extract | 20ml","20",54.5
"Bakery","Marby Tortillas Mexican Wraps | 300g","300",80
"Bakery","Marby Lumpia Wrapper Big | 230g 20pcs","230",63
"Bakery","Gardenia Loaf Bread High Fiber Wheat Raisin | 600g","600",122
"Bakery","Maya The Original Hot Cake Mix | 200g","200",31.5
"Bakery","Fuwa Fuwa Everyday Japan Tasty | 550g","550",81
"Bakery","Suncrest Doowee Donuts | 40g 10pcs","40",116.5
"Bakery","Tasty Boy All Purpose Breading Mix | 65g","65",13.25
"Bakery","Maya Chocolate Fudge Brownie Mix | 500g","500",126.5
"Bakery","Maya Hotcake Mix Chocolate | 500g","500",96.5
"Bakery","Maya Decadence Red Velvet Cake Premium Mix | 460g","460",216.5
"Bakery","Ferna Baking Soda | 250g","250",42.5
"Bakery","Dutche Special Chocolate Fondue | 1kg","1",300
"Bakery","Dutche Chocolate Chips | 350g","350",121.5
"Bakery","Dutche Alkalized Cocoa Powder | 180g","180",109.5
"Bakery","Dutche Chocobar Premium | 500g","500",151.5
"Bakery","Dutche Choco Bar Dark | 1/2kg","2",151.5
"Bakery","Mr Hat Gulaman Flavored Gelatin Buko Pandan | 25g","25",15.5
"Bakery","Master Gulaman Unflavored Gelatin Red | 25g","25",15
