Category,Name,Net weight,Price
"Chilled","Selecta Double Dutch | 450ml","450",99
"Chilled","Selecta Pistachio & Cashew Ice Cream | 1.3L","1.3",275
"Chilled","Bounty Fresh Large Eggs | 30pcs","30",295
"Chilled","Anmum Materna Plain | 375g","375",434.5
"Chilled","Dari Creme Butter Salted | 200g","200",56
"Chilled","Dutch Mill Yoghurt Drink Strawberry | 90mL 4pcs","90",40.5
"Chilled","SM Bonus Fresh Eggs | 12pcs","12",117
"Chilled","Dutch Mill Delight Probiotic Drink | 100mL 5pcs","100",57
"Chilled","Bounty Cage Free White Eggs | 12pcs","12",128
"Chilled","Alaska Classic Evaporated Filled Milk | 370mL","370",54.25
"Chilled","Bear Brand Fortified | 700g","700",246.5
"Chilled","Eden Cheese Slice Singles | 208g 10pcs","208",120
"Chilled","Jersey Sweetened Condensed Milk | 390g (302ml)","390",40.75
"Chilled","Magnolia Gold Butter Unsalted | 225g","225",171
"Chilled","Alaska Sweetened Condensed Milk | 300mL","300",73
"Chilled","Nestle Fresh Milk | 1L","1",114.5
"Chilled","ALASKA CREMA ALL PURPOSE CREAM 250ML","250",65
"Chilled","Selecta Farm Fresh Savers Pack | 1L 2pcs","1",206
"Chilled","Magnolia Buttercup Margarine Regular Salted | 200g","200",52
"Chilled","Bear Brand Fortified with Zinc with Zinc | 1.2kg","1.2",429.5
"Chilled","Magnolia Gold Butter salted | 225g","225",171
"Chilled","Selecta Filled Milk Low Fat Save 30 | 1L 2pcs","1",189.5
"Chilled","Bear Brand Adult Plus | 1.2kg","1.2",514.5
"Chilled","Dutchmill Mixed Berries | 180ml 4pcs","180",81.5
"Chilled","SM Bonus Salted Eggs | 4pcs","4",75
"Chilled","Chiz Boy Grated Mozzarella Cheese | 200g","200",147.5
"Chilled","Magnolia Cream Cheese | 225g","225",169
"Chilled","Bear Brand Fortified | 2kg","2",704.5
"Chilled","Dutch Mill Strawberry | 180ml 4pcs","180",81.5
"Chilled","Angel Evaporated Filled Milk | 370ml","370",48
"Chilled","Nestle Yogurt Berry Mix | 125g","125",49
"Chilled","Nestle Yogurt Strawberry | 125g","125",49
"Chilled","Anchor Butter Spreadable Salted | 200g","200",175
"Chilled","Birch Tree Fortified | 925g","925",274
