Name,Net weight,Price
"Datu Puti Patis Pet Bottle | 350ml","350",26
"Nutella Spread Hazelnut | 350g","350",314.5
"Kraft Cheez Whiz Sandwich Spread Pimiento | 450g","450",199.95
"Super Q Golden Bihon | 500g","500",41.5
"MAMA SITAS OYSTER SAUCE POUCH 405G","405",78.75
"Lucky Me Supreme Sotanghon | 28g","28",25.5
"Delimondo Caldereta Corned Beef | 380g","380",187
"Delimondo Tapa Corned Beef | 380g","380",186.25
"Farmboy Rice Sinandomeng | 10kg","10",552
"UFC BANANA CATSUP 1KG","1",65.5
"Energen Cereal Drink Chocolate | 40g 10pcs","40",90
"MAMA SITA MENUDO/AFRITADA MIX 30G","30",33.5
"Wata Noodle Seafood Miso | 50g","50",25.5
"Mega Sardines In Tomato Sauce Chili | 155g","155",24.75
"Hapi Fiesta Vegetable Oil 1L Duo Pack","1",206
"CDO Kaong White | 340g","340",85.5
"Ajinomoto Msg | 500g","500",112.5
"SM BONUS SUGAR BROWN 1KG","1",73
"Datu Puti Vinegar | 1L","1",40
"Purefoods Corned Beef | 210g 2pcs","210",228
"SM BONUS WASHED SUGAR 1KG","1",76
"Lucky Me Instant Pancit Canton Chilimansi | 80g 6","80",84
"DATU PUTI SOY SAUCE 1L","1",51
"Maggi Magic Sarap Seasoning Mix | 8g 16pcs","8",77.5
"Lucky Me Instant Pancit Canton Kalamansi | 80g 6","80",84
"KNORR SINIGANG SA SAMPALOK ORIGINAL 44G","44",28.5
"Lucky Me Instant Mami Chicken | 55g 6pcs","55",52.5
"Mega Sardines In Tomato Sauce | 155g","155",23.75
"Maling Luncheon Meat Chicken | 397g","397",116.5
"Knorr Cubes Pork | 120g","120",68.5
"Highlands Corned Beef Gold | 320g","320",169
"ARGENTINA CORNED BEEF 150G","150",35
"Knorr Cubes Chicken | 60g","60",35
"Purefoods Corned Beef | 150g","150",82
"555 Sardines Spanish Style | 155g","155",32
"HERMANO REFINED WHITE SUGAR 1KG","1",85.5
"KNORR SINIGANG NA MAY GABI 44G","44",28.5
"SILVER SWAN SOY SAUCE 1L","1",53.5
"Maya The Original Hot Cake Mix | 500g","500",66.5
